GAP인증번호,인증기관,개인_단체 구분명,유효기간 시작일,유효기간 종료일,품목,주소,등록 농가수,등록 필지수,재배면적,생산계획량,지정일자
1018010,주식회사 농식품인증관리원,법인,2021-09-16,2023-09-15,벼,경상남도 창원시 의창구,12,58,132386,105.86,2021-09-16
1018009,주식회사 농식품인증관리원,개인,2021-09-16,2023-09-15,표고버섯,경기도 포천시,1,1,254,10,2021-09-16
1018008,주식회사 농식품인증관리원,개인,2021-09-16,2023-09-15,딸기,경기도 파주시,1,1,1320,5,2021-09-16
1018007,(주)에버그린농우회,개인,2021-09-16,2023-09-15,샤인마스캇,경상북도 포항시 북구,1,1,3570,7,2021-09-16
1018006,(주)에코아임친환경기술연구원,단체,2021-09-15,2023-09-14,고구마,전라남도 해남군,13,50,113698,398,2021-09-15
1018005,주식회사 예농,개인,2021-09-15,2023-09-14,오이,경상남도 창녕군,1,2,3723.7,5,2021-09-15
1018004,(주)그린하이인증센터,개인,2021-09-16,2023-09-15,사과,충청북도 보은군,1,5,6804.08,3,2021-09-16
1018003,(주)한국지에이피인증원,단체,2021-09-15,2023-09-14,풋고추,경상남도 진주시,24,61,88463,231.97,2021-09-15
1018002,경상국립대학교 산학협력단,개인,2021-09-15,2023-09-14,딸기,경상남도 산청군,1,1,1779,6,2021-09-15
1018001,경상국립대학교 산학협력단,개인,2021-09-14,2023-09-13,딸기,경상남도 산청군,1,2,3983,12,2021-09-14
1018000,주식회사 푸름인증원,단체,2021-09-07,2023-09-06,깻잎,경상남도 밀양시,27,85,91802.8,183.5,2021-09-07
1017999,강원대학교 산학협력단,단체,2021-09-14,2023-09-13,벼,강원도 춘천시,7,27,56233,36.53,2021-09-14
1017998,경상국립대학교 산학협력단,개인,2021-09-14,2023-09-13,딸기,경상남도 거창군,1,3,5144,16,2021-09-14
1017997,농업회사법인 주식회사 농품,단체,2021-09-14,2023-09-13,샤인마스캇,전라북도 무주군,20,51,81571,137.22,2021-09-14
1017996,주식회사 농식품인증관리원,개인,2021-09-14,2023-09-13,미나리,경기도 용인시 처인구,1,4,12369,31.7,2021-09-14
1017995,주식회사 경기농업인증센터,법인,2021-09-14,2023-09-13,새싹삼,충청남도 보령시,1,1,207.6,0.27,2021-09-14
1017994,주식회사 푸름인증원,단체,2021-09-14,2023-09-13,토마토,강원도 철원군,17,44,140970.7,281.6,2021-09-14
1017993,(주)그린하이인증센터,개인,2021-09-14,2023-09-13,가지,충청북도 진천군,1,14,3687.73,12.05,2021-09-14
1017992,(주)그린하이인증센터,개인,2021-09-14,2023-09-13,콩(서리태),전라북도 순창군,1,20,11965.92,3.7,2021-09-14
1017991,(주)그린하이인증센터,개인,2021-09-14,2023-09-13,콩(백태),충청북도 제천시,1,26,14596.1,15.4,2021-09-14
1017990,(주)그린하이인증센터,개인,2021-09-14,2023-09-13,수수,충청북도 제천시,1,9,16744.82,5,2021-09-14
1017989,(주)그린하이인증센터,개인,2021-09-14,2023-09-13,콩(서리태),충청북도 제천시,1,10,5089.99,1.8,2021-09-14
1017988,(주)그린하이인증센터,개인,2021-09-14,2023-09-13,수수,충청북도 제천시,1,4,2114.6,0.6,2021-09-14
1017987,(주)그린하이인증센터,개인,2021-09-14,2023-09-13,대파,충청북도 제천시,1,19,10233.06,16.9,2021-09-14
1017986,아이센(주),개인,2021-09-13,2023-09-12,대추방울,경상북도 경주시,1,20,3930,23,2021-09-13
1017985,아이센(주),개인,2021-09-13,2023-09-12,오이,경상북도 경주시,1,23,4633,52.5,2021-09-13
1017984,아이센(주),개인,2021-09-13,2023-09-12,산딸기,경상북도 경주시,1,3,3384,0.38,2021-09-13
1017983,아이센(주),개인,2021-09-13,2023-09-12,동충하초,경상북도 경주시,1,18,1368,2.88,2021-09-13
1017982,주식회사 농식품인증관리원,개인,2021-09-13,2023-09-12,사과,경기도 양평군,1,6,4499,6.5,2021-09-13
1017981,주식회사 농식품인증관리원,개인,2021-09-13,2023-09-12,사과,경기도 양평군,1,3,5816,8.9,2021-09-13
1017980,주식회사 농식품인증관리원,개인,2021-09-13,2023-09-12,사과,경기도 고양시 덕양구,1,5,7780,33,2021-09-13
1017979,주식회사 농식품인증관리원,단체,2021-09-13,2023-09-12,사과,경기도 가평군,7,25,47977,68.52,2021-09-13
1017978,(주)농산물품질인증평가원,단체,2021-09-13,2023-09-12,사과,경상북도 안동시,14,86,206909,413.8,2021-09-13
1017977,주식회사 농식품인증관리원,개인,2021-09-13,2023-09-12,배추,경기도 수원시 권선구,1,7,2355,8.8,2021-09-13
1017976,(주)한국유기농인증원,개인,2021-09-13,2023-09-12,당귀,강원도 인제군,1,1,669,0.35,2021-09-13
1017975,(주)한국유기농인증원,개인,2021-09-13,2023-09-12,당귀,강원도 인제군,1,3,2729,1.44,2021-09-13
1017974,(주)한국유기농인증원,개인,2021-09-13,2023-09-12,오이,경기도 안산시 상록구,1,18,9980,63.3,2021-09-13
1017973,(주)한국유기농인증원,개인,2021-09-13,2023-09-12,당귀,강원도 인제군,1,1,2466,1.3,2021-09-13
1017972,(주)한국유기농인증원,개인,2021-09-13,2023-09-12,당귀,강원도 인제군,1,1,5090,2.9,2021-09-13
1017971,(주)한국유기농인증원,개인,2021-09-13,2023-09-12,당귀,강원도 인제군,1,6,23928,30.45,2021-09-13
1017970,(주)한국유기농인증원,개인,2021-09-13,2023-09-12,당귀,강원도 인제군,1,2,2102,0.74,2021-09-13
1017969,(주)한국유기농인증원,개인,2021-09-13,2023-09-12,당귀,강원도 인제군,1,2,4862,2.58,2021-09-13
1017968,(주)농산물품질인증평가원,단체,2021-09-13,2023-09-12,사과,경상북도 의성군,22,115,191538,382.9,2021-09-13
1017967,(주)미래친환경농업인증센터,법인,2021-09-10,2023-09-09,수박,전라북도 고창군,5,50,158522.8,762,2021-09-10
1017966,유한회사 빛그린인증원,단체,2021-09-10,2023-09-09,고구마,충청남도 서산시,4,30,54097,167.1,2021-09-10
1017965,㈔한국생약협회,개인,2021-09-10,2023-09-09,구기자,충청남도 청양군,1,2,1485,1.5,2021-09-10
1017964,주식회사 농식품인증관리원,단체,2021-09-10,2023-09-09,쌀,경기도 화성시,9,57,174408,118.66,2021-09-10
1017963,친환경농업연구원 주식회사,개인,2021-09-10,2023-09-09,무화과,세종특별자치시 ,1,8,8940,11,2021-09-10
1017962,친환경농업연구원 주식회사,법인,2021-09-10,2023-09-09,밤,충청남도 청양군,1,1,20000,10,2021-09-10
1017961,경상국립대학교 산학협력단,개인,2021-09-09,2023-09-08,딸기,경상남도 거창군,1,1,2801,10,2021-09-09
1017960,(주)한국지에이피인증원,단체,2021-09-10,2023-09-09,포도,경상남도 창녕군,11,18,36820.9,22.3,2021-09-10
1017958,(재)금산인삼약초산업진흥원,개인,2021-09-10,2024-09-09,수삼,충청남도 금산군,1,1,2840,1.61,2021-09-10
1017957,(재)금산인삼약초산업진흥원,개인,2021-09-10,2024-09-09,수삼,충청남도 금산군,1,4,6620,3.76,2021-09-10
1017956,주식회사 농식품인증관리원,단체,2021-09-09,2023-09-08,쌀,경기도 화성시,5,69,168728,113.09,2021-09-09
1017955,주식회사 농식품인증관리원,단체,2021-09-09,2023-09-08,쌀,경기도 화성시,6,29,103485,70.44,2021-09-09
1017954,주식회사 농식품인증관리원,단체,2021-09-09,2023-09-08,쌀,경기도 화성시,6,49,181713,123.58,2021-09-09
1017953,주식회사 농식품인증관리원,단체,2021-09-09,2023-09-08,상추,경기도 용인시 처인구,11,75,66288,332.5,2021-09-09
1017952,친환경농업연구원 주식회사,단체,2021-09-09,2023-09-08,쌀,충청남도 당진시,17,221,639127,313.53,2021-09-09
1017951,건국에코인증원 주식회사,개인,2021-09-09,2023-09-08,고구마,충청북도 충주시,1,3,3893,6.4,2021-09-09
1017950,강원대학교 산학협력단,개인,2021-09-09,2023-09-08,사과,강원도 정선군,1,7,11999,50,2021-09-09
1017949,(주)한국농산업연구소,법인,2021-09-09,2023-09-08,쌀,전라남도 강진군,57,270,624948,640.992,2021-09-09
1017948,(주)온누리지에이피,법인,2021-09-09,2023-09-08,포도,경상북도 상주시,14,20,49240.2,65.8,2021-09-09
1017947,㈜비씨에스코리아,단체,2021-09-09,2023-09-08,오미자,강원도 태백시,22,36,29489,28.3,2021-09-09
1017946,주식회사 온누리친환경,개인,2021-09-08,2023-09-07,대추,충청남도 천안시 동남구,1,4,10383,15,2021-09-08
1017945,주식회사 농식품인증관리원,개인,2021-09-08,2023-09-07,사과,경기도 양평군,1,3,3500,4.13,2021-09-08
1017944,주식회사 농식품인증관리원,단체,2021-09-08,2023-09-07,청경채,경기도 용인시 처인구,14,65,113829,876,2021-09-08
1017943,㈔한국생약협회,단체,2021-09-08,2024-09-07,맥문동,충청남도 청양군,4,4,5610,2.55,2021-09-08
1017942,농협경제지주(주)식품R&D연구소,단체,2021-09-08,2023-09-07,포도,인천광역시 강화군,2,4,12243,20.6,2021-09-08
1017941,농업회사법인(주)푸른솔,개인,2021-09-08,2023-09-07,메론,대전광역시 유성구,1,1,3154,18.6,2021-09-08
1017940,주식회사 경기농업인증센터,개인,2021-09-06,2023-09-05,배,경기도 안성시,1,8,34395,120,2021-09-06
1017939,주식회사 경기농업인증센터,개인,2021-09-06,2023-09-05,토마토,경기도 광명시,1,3,8292,1.8,2021-09-06
1017938,주식회사 경기농업인증센터,개인,2021-09-06,2023-09-05,쑥갓,경기도 광명시,1,9,24336,4,2021-09-06
1017937,주식회사 경기농업인증센터,개인,2021-09-06,2023-09-05,부추,경기도 광명시,1,2,4202,1.6,2021-09-06
1017936,주식회사 경기농업인증센터,개인,2021-09-06,2023-09-05,토마토,경기도 광명시,1,6,6424,1.6,2021-09-06
1017935,주식회사 경기농업인증센터,개인,2021-09-06,2023-09-05,상추,경기도 광명시,1,24,38904,8,2021-09-06
1017934,주식회사 경기농업인증센터,개인,2021-09-06,2023-09-05,상추,경기도 광명시,1,30,43700,35,2021-09-06
1017933,주식회사 경기농업인증센터,개인,2021-09-06,2023-09-05,상추,경기도 광명시,1,72,109134,11.9,2021-09-06
1017932,(주)한국지에이피인증원,단체,2021-09-07,2023-09-06,딸기,경상남도 합천군,11,31,54858,168.13,2021-09-07
1017931,농업회사법인 주식회사 농품,법인,2021-09-07,2023-09-06,고추,전라북도 익산시,1,1,503,0.5,2021-09-07
1017930,아이센(주),개인,2021-09-06,2023-09-05,메론,경상남도 합천군,1,2,6657,44,2021-09-06
1017929,주식회사 경기농업인증센터,법인,2021-09-06,2023-09-05,콩나물,경기도 안성시,1,2,10000,1500,2021-09-06
1017928,토지글로닉스 주식회사,개인,2021-09-06,2023-09-05,단감,전라남도 구례군,1,2,3742,5.5,2021-09-06
1017927,토지글로닉스 주식회사,개인,2021-09-06,2023-09-05,단감,전라남도 구례군,1,5,2148,7,2021-09-06
1017926,농업회사법인(주)푸른솔,개인,2021-09-06,2023-09-05,두릅,경기도 의왕시,1,9,2400,0.9,2021-09-06
1017925,(주)아이에스씨농업발전연구소,개인,2021-09-06,2023-09-05,깻잎,충청남도 금산군,1,7,11358,14,2021-09-06
1017924,경상국립대학교 산학협력단,개인,2021-09-06,2023-09-05,새싹삼,경상남도 함안군,1,1,155.52,2.6,2021-09-06
1017923,(주)에이앤에프글로벌인증원,개인,2021-09-06,2023-09-05,샤인마스캇,경상북도 김천시,1,1,1887,3.8,2021-09-06
1017922,주식회사 경기농업인증센터,단체,2021-08-27,2023-08-26,사과,충청남도 예산군,14,68,197120.1,593.7,2021-08-27
1017921,주식회사 농식품인증관리원,개인,2021-09-03,2023-09-02,벼,경기도 파주시,1,16,21186,15.22,2021-09-03
1017920,농업법인플럼코트맘(주),개인,2021-09-04,2023-09-03,고구마,전라남도 해남군,1,9,92125,230.32,2021-09-04
1017919,농업법인플럼코트맘(주),개인,2021-09-04,2023-09-03,고구마,전라북도 고창군,1,26,163432.7,408.6,2021-09-04
1017918,농업법인플럼코트맘(주),개인,2021-09-04,2023-09-03,고구마,전라남도 해남군,1,69,128969,196.17,2021-09-04
1017917,농업법인플럼코트맘(주),개인,2021-09-04,2023-09-03,고구마,전라남도 해남군,1,36,241794,367.99,2021-09-04
1017916,주식회사 이앤컴퍼니,법인,2021-09-01,2023-08-31,블루베리,강원도 고성군,2,2,3123,3,2021-09-01
1017915,(주)그린하이인증센터,개인,2021-09-03,2023-09-02,차조,충청북도 제천시,1,6,4126.26,1.1,2021-09-03
1017913,용인시농업기술센터,개인,2021-09-06,2023-09-05,아욱,경기도 용인시 처인구,1,1,4750,20,2021-09-06
1017912,농업회사법인(주)푸른솔,법인,2021-09-03,2023-09-02,엽경채류(기타),경기도 광주시,1,26,2822,24.8,2021-09-03
1017911,농업법인플럼코트맘(주),단체,2021-09-04,2023-09-03,건고추,전라남도 영광군,39,84,117634,35.31,2021-09-04
